TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  3.7101382E-01,  9.2335857E-02,  5.2099060E-02,0,15563, -3.9220996E-02, -7.2510056E-02,  3.3718251E-02,  1.0018584E+03,  1.5625000E-02,  4.0332258E+03,3,1,
  3.8897991E-01,  1.0910048E-01,  4.9553417E-02,0,16230, -2.9306423E-03, -6.0196031E-02,  9.1344221E-03,  1.0024556E+03,  1.5625000E-02,  5.3389380E+03,3,1,
  3.5345915E-01,  1.0120808E-01,  5.3162672E-02,0,15518,  6.6328980E-03, -2.8754829E-03,  3.9643526E-02,  1.0018564E+03,  1.5625000E-02,  4.0288301E+03,3,1,
  3.8659415E-01,  9.5744222E-02,  5.3944848E-02,0,16185, -3.4689810E-03,  5.3315081E-02,  1.2111288E-02,  1.0018218E+03,  1.5625000E-02,  3.9534468E+03,3,1,
  3.3301225E-01,  1.0475862E-01,  5.2732751E-02,0,14851, -6.4855881E-02,  2.4258954E-02,  3.6098845E-02,  1.0020258E+03,  1.5625000E-02,  4.3987812E+03,3,1,
  3.0484745E-01,  1.0491136E-01,  5.0460543E-02,0,14919, -6.4341955E-02, -1.2621011E-01,  1.3187294E-02,  1.0022360E+03,  1.5625000E-02,  4.8581436E+03,3,1,
  3.4078059E-01,  1.1549523E-01,  4.9914524E-02,0,15586, -2.2168316E-02,  5.1959909E-02,  3.4287769E-02,  1.0024080E+03,  1.5625000E-02,  5.2346831E+03,3,1,
  3.6331186E-01,  1.1303324E-01,  5.0090227E-02,0,16253,  1.0534453E-01, -1.6704904E-02,  2.0543616E-02,  1.0023837E+03,  1.5625000E-02,  5.1814980E+03,3,1,
  3.8407013E-01,  1.2482018E-01,  5.0679363E-02,0,16920,  8.6195553E-03, -1.7754802E-02, -1.1546038E-02,  1.0023383E+03,  1.5625000E-02,  5.0819639E+03,3,1,
  3.2757539E-01,  1.2697187E-01,  5.1160764E-02,0,14873,  2.8172188E-02,  4.7882266E-02,  3.1075280E-02,  1.0022148E+03,  1.5625000E-02,  4.8119546E+03,3,1,
  3.7008271E-01,  1.4250784E-01,  5.5277053E-02,0,16207, -7.3371843E-02,  3.6372568E-02,  4.0898640E-02,  1.0015946E+03,  1.5625000E-02,  3.4579827E+03,3,1,
  3.0817318E-01,  8.9482136E-02,  5.4476935E-02,0,14183, -2.5631017E-03,  5.3559389E-02, -5.1106499E-03,  1.0018834E+03,  1.5625000E-02,  4.0877095E+03,3,1,
  3.2860717E-01,  8.9236431E-02,  5.3153265E-02,0,14850, -4.0848717E-02, -6.0186122E-02,  4.4490378E-02,  1.0017466E+03,  1.5625000E-02,  3.7892820E+03,3,1,
  3.5424390E-01,  1.3687129E-01,  5.3575315E-02,0,16276, -4.6876781E-02, -1.2219122E-01, -5.8850409E-03,  1.0018881E+03,  1.5625000E-02,  4.0979678E+03,3,1,
