Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  5.1804429E-01;  6.3272375E-01; -2.1000793E-02;116;1;404370;  2.6418024E-01; -1.8308641E-01; -1.2315214E-01;  9.9974811E+02;
  5.0990355E-01;  6.4136398E-01; -2.1000415E-02;117;1;393953;  5.7387817E-01; -4.9682376E-01; -9.3187913E-02;  9.9887006E+02;
  8.0924904E-01;  7.6349044E-01; -2.1000316E-02;117;1;452383;  4.6617043E-01; -1.5065551E-01; -4.7430139E-02;  9.9954553E+02;
  2.1903868E-01;  4.8730281E-01; -2.1005681E-02;117;1;376204;  1.7661577E+00; -8.1010205E-01; -3.9509127E-01;  9.9578748E+02;
  2.3070772E-01;  4.8603591E-01; -2.1007814E-02;117;1;372724;  5.2542605E-02;  1.2901764E+00; -3.4539074E-01;  9.9858533E+02;
  2.0539249E-01;  5.5140799E-01; -2.1000875E-02;117;1;378196;  1.3170333E+00; -2.8760749E-01; -8.3609328E-02;  9.9665814E+02;
  5.2680564E-01;  6.3117868E-01; -2.1000793E-02;118;1;457887;  5.7935423E-01;  6.7230716E-02; -5.4872923E-02;  9.9932867E+02;
  2.1286198E-01;  5.4769599E-01; -2.1002566E-02;118;1;372738;  1.0359635E+00; -5.7753521E-01; -1.2676880E-01;  9.9964148E+02;
  2.1511124E-01;  5.4393101E-01; -2.1003669E-02;118;1;367031;  1.2388903E+00; -1.0638008E+00; -1.4759693E-01;  9.9722125E+02;
  2.3522265E-01;  5.1230890E-01; -2.1002330E-02;119;1;370467;  4.4904101E-01;  1.2245443E+00; -2.7009115E-01;  9.9609137E+02;
